Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
6/4/2011,25,31,28,84,1,7,4,360,2,0
7/4/2011,25,31,28,81,3,3,4,330,2,315
8/4/2011,25,30,27,81,0,3,3,340,3,315
9/4/2011,25,31,28,82,0,3,5,360,3,315
10/4/2011,26,30,27,86,0,2,5,360,3,315
11/4/2011,25,29,26,87,4,1,3,330,2,315
12/4/2011,25,30,27,83,4,0,2,360,3,0
13/04/2011,24,31,27,82,0,6,5,360,2,0
14/04/2011,25,30,26,86,0,2,4,360,3,0
15/04/2011,24,31,27,81,5,3,5,360,2,0
16/04/2011,24,31,28,80,1,5,4,350,2,315
17/04/2011,25,31,27,85,3,5,5,360,3,0
18/04/2011,23,32,27,80,7,8,4,330,2,0
19/04/2011,24,31,28,78,1,8,5,360,3,0
20/04/2011,25,32,28,77,0,8,6,360,3,0
21/04/2011,25,32,28,74,5,6,4,360,3,0
22/04/2011,25,32,26,90,0,5,6,120,3,0
23/04/2011,24,32,28,81,13,7,5,360,2,0
24/04/2011,25,32,28,82,1,3,4,360,3,0
25/04/2011,25,32,28,80,0,8,8,360,3,90
26/04/2011,25,32,28,78,0,7,4,90,3,90
27/04/2011,26,33,29,71,1,6,4,360,3,90
28/04/2011,25,33,29,75,0,6,6,360,3,315
29/04/2011,27,34,30,71,0,8,5,320,4,90
30/04/2011,24,33,29,80,20,6,5,360,4,315
1/5/2011,25,30,27,86,14,1,4,360,3,0
2/5/2011,25,29,27,86,0,0,4,270,2,315
3/5/2011,24,31,28,82,1,6,4,360,3,0
4/5/2011,24,32,28,78,0,8,4,360,3,0
5/5/2011,25,30,27,84,0,0,3,360,3,0
6/5/2011,24,31,27,82,9,8,6,360,2,0
7/5/2011,25,29,26,91,3,0,0,0,4,0
8/5/2011,25,31,27,83,4,5,4,360,2,0
9/5/2011,24,33,28,77,7,6,4,300,2,315
10/5/2011,25,33,28,75,4,8,4,90,2,90
